player_id,total_mentions,total_sentiment,avg_sentiment,total_transfer,total_injury,total_contract,total_performance,total_recency_score
38094,1,0.0426218342535707,0.0426218342535707,1,0,0,1,0.3481058708883595
38253,442,53.20688898914487,0.12037757689851782,236,103,125,367,0.26156527761484005
39152,2,0.1988574520717377,0.09942872603586884,2,1,0,2,0.2775461770650799
39259,2,0.3010722610722612,0.1505361305361306,0,2,0,0,0.2775461770650799
39728,1,0.1335978835978835,0.1335978835978835,0,1,1,0,0.2775461770650799
39983,19,1.9234963457998404,0.10123664977893897,10,5,4,13,0.2817252788924167
40034,2,0.1741667022670311,0.08708335113351555,0,1,0,2,0.2775461770650799
40423,1,-0.0753472222222222,-0.0753472222222222,1,1,0,1,0.2775461770650799
40433,1,0.0355883219344757,0.0355883219344757,1,0,0,1,0.2971173820112177
40613,4,0.4372551304669267,0.10931378261673168,1,2,1,4,0.28378184972444653
41355,2,0.2356885907898713,0.11784429539493566,2,2,1,2,0.11117199351279725
41384,14,1.1405863790889663,0.08147045564921188,4,5,0,14,0.2829053825783743
41416,10,-0.011367690324274371,-0.0011367690324274372,3,5,0,9,0.26268156084419136
41982,2,0.1135007849293562,0.0567503924646781,1,0,0,2,0.2775461770650799
43250,5,0.730558058017996,0.1461116116035992,2,0,1,4,0.25870455548668453
43530,6,0.4732383799156304,0.07887306331927173,1,2,1,5,0.2756263902909953
44017,2,0.3098575593218449,0.15492877966092244,0,0,1,2,0.191531475836419
44068,42,4.608333313128877,0.10972222174116372,22,9,14,35,0.2657151897173902
44327,1,0.1458324462422822,0.1458324462422822,1,0,1,1,0.2775461770650799
44352,42,3.7256255694120886,0.08870537070028782,15,20,8,42,0.22658515693944298
44466,1,0.1584149184149184,0.1584149184149184,0,1,0,0,0.2775461770650799
44779,3,0.2480513835370978,0.08268379451236593,2,1,0,2,0.3444813632726356
44792,1,0.0277777777777777,0.0277777777777777,0,1,0,1,0.2775461770650799
44983,1,0.3111244019138756,0.3111244019138756,0,0,0,1,0.2775461770650799
45146,12,1.5829354377827412,0.1319112864818951,4,2,1,12,0.2615148512605818
45314,1,0.140024107628898,0.140024107628898,1,1,0,1,0.2512729527347426
45320,5,0.4065920252945363,0.08131840505890726,1,3,1,5,0.18588973356872646
45333,1,0.1418560606060606,0.1418560606060606,0,1,0,1,0.2775461770650799
45389,1,0.1542669942669942,0.1542669942669942,1,0,0,1,0.1609136068974946
45494,2,0.17119798298107108,0.08559899149053554,1,0,0,2,0.2309767980946508
45660,20,1.9065046389557987,0.09532523194778994,4,13,2,20,0.2720388538476721
45672,7,0.7451861703923103,0.10645516719890147,1,3,0,6,0.2686480618818073
46001,8,1.0810094163292339,0.13512617704115423,4,3,7,7,0.254344011632524
46580,4,0.2154501791373113,0.05386254478432782,0,2,0,4,0.20894616575324565
46741,14,1.3586650562063431,0.0970475040147388,10,7,6,11,0.23000406996508863
48002,6,0.8054549881936243,0.1342424980322707,0,1,1,5,0.28741441670321205
48066,11,0.7116153526656541,0.06469230478778674,5,5,4,11,0.22389286804639433
48280,29,2.8949759342969075,0.09982675635506577,14,13,10,27,0.25004792372658147
48859,9,0.864867085954681,0.09609634288385344,0,6,0,9,0.3019972048623397
49275,11,0.8220137008720845,0.0747285182610986,1,1,1,9,0.2812088913507101
