Player,stats_Born,player_id
Víctor Chust,2000,495625.0
Darko Churlinov,2000,386786.0
Daniel Ciofani,1985,29605.0
Yanis Cimignani,2002,801754.0
Pathé Ciss,1994,525578.0
Tio Cipot,2003,795431.0
Souleymane Cissé,2002,806501.0
Bobby Clark,2005,712117.0
Patrick Ciurria,1995,255838.0
Jonathan Clauss,1992,175639.0
Carlos Clerc,1992,193784.0
Alexis Claude-Maurice,1998,384593.0
Conor Coady,1993,128901.0
Nathaniel Clyne,1991,85177.0
Nicolò Cocetta,2003,704692.0
Marcus Coco,1996,353365.0
Séamus Coleman,1988,68390.0
Alexandre Coeff,1992,89450.0
Álex Collado,1999,282722.0
Jack Colback,1989,61644.0
David Čolina,2000,371000.0
Lorenzo Colombo,2002,487843.0
Omar Colley,1992,174733.0
Diego Collado,2001,566965.0
Nathan Collins,2001,469050.0
Andrea Colpani,1999,392959.0
Eray Cömert,1998,298583.0
Kingsley Coman,1996,243714.0
Santi Comesaña,1996,380598.0
Levi Colwill,2003,614258.0
Andrea Consigli,1987,35865.0
Andrea Conti,1994,111227.0
Lewis Cook,1997,249089.0
Abdu Conté,1998,337798.0
Steve Cook,1991,90836.0
Liam Cooper,1991,75067.0
Copete,1999,520840.0
Sébastien Corchia,1990,102744.0
Diego Coppola,2003,660860.0
Francis Coquelin,1991,74869.0
Alex Cordaz,1983,16633.0
Maxwel Cornet,1996,234781.0
Ángel Correa,1995,266807.0
Jesús Corona,1993,125165.0
Joaquín Correa,1994,227081.0
Alessandro Cortinovis,2001,421768.0
Thierry Correia,1999,367466.0
Danny da Costa,1993,85906.0
David Costa,2001,719442.0
Diego Costa,1988,44779.0
Jaume Costa,1988,65318.0
Logan Costa,2001,484988.0
Nuno da Costa,1991,306166.0
Samu Costa,2000,657430.0
Benoît Costil,1987,22628.0
Lassana Coulibaly,1996,386552.0
Vladimír Coufal,1992,157672.0
Soumaïla Coulibaly,2003,659513.0
Tanguy Coulibaly,2001,618425.0
Thibaut Courtois,1992,108390.0
Mathieu Coutadeur,1986,39914.0
Yan Couto,2002,627228.0
Philippe Coutinho,1992,80444.0
Conor Coventry,2000,419025.0
Nicolas Cozza,1999,485965.0
Aaron Cresswell,1989,92571.0
Alessio Cragno,1994,12907.0
Bryan Cristante,1995,199248.0
Domen Črnigoj,1995,216599.0
Juan Cruz,2000,585700.0
Matthew Craig,2003,633659.0
Juan Cuadrado,1988,91970.0
Braian Cufré,1996,401521.0
Marc Cucurella,1998,284857.0
Mickaël Cuisance,1999,344600.0
Jorge Cuenca,1999,494880.0
Matheus Cunha,1999,517894.0
Marco D'Alessandro,1991,99232.0
